IMO,Flag,Name,Built,CallSign,Length,Breadth,Tonnage,MMSI,Type,Status,Owner
1000007,Liberia,Athina,\N,\N,38,7,\N,\N,Yacht,\N,\N
1000019,United Kingdom,Lady K Ii,1961,\N,57,8,551,235095435,Yacht,Active,1
1000021,Cayman Islands,Montkaj,1995,\N,78,13,2000,319904000,Yacht,Active,2
1000033,United Kingdom,Astralium,1995,\N,31,7,178,234028000,Yacht,Active,\N
1000045,None,Oktana,1995,\N,38,7,264,239488000,Yacht,Active,\N
1000057,Saudi Arabia,Lima,1992,\N,30,20,227,403070000,Yacht,Active,\N
1000069,United Kingdom,Lady Beatrice,1993,\N,60,10,970,233219000,Yacht,Active,3
1000071,Germany,Susi,1992,\N,11,3,19,\N,Yacht,Active,\N
1000083,Germany,Relax,1993,\N,12,3,20,\N,Yacht,Active,\N
1000095,None,G.Whiz,1989,\N,33,7,110,\N,Yacht,Laid Up,\N
1000100,France,Jacques Heim,1991,\N,29,6,135,\N,Yacht,Active,\N
1000112,Isle Of Man,Seven Seas Of Porto,1935,\N,20,3,46,\N,Yacht,Active,\N
1000124,Greece,Airwaves B,1992,\N,30,7,167,239903700,Yacht,Active,\N
1000136,United Arab Emirates,Abu Al Abyad,1980,\N,48,9,567,\N,Yacht,Active,4
1000148,United Kingdom,Addam,1989,\N,\N,\N,6,\N,Yacht,Active,\N
1000150,United Kingdom,Adix,1984,\N,67,8,291,232398000,Yacht,Active,\N
1000162,None,Aello,1921,\N,28,6,71,\N,Yacht,Active,\N
1000174,Gibraltar,Aetea,1981,\N,40,7,353,236316000,Yacht,Active,5
1000186,None,Aireasg,1989,\N,10,3,18,\N,Yacht,Active,\N
1000198,United Kingdom,Kallista,1991,\N,20,5,52,\N,Yacht,Active,\N
1000203,Egypt,Alaqsa,1977,\N,19,5,46,\N,Yacht,Active,\N
1000215,Saudi Arabia,Al Direiyah,1971,\N,27,6,96,\N,Yacht,Active,\N
1000239,Malta,Mq2,1990,\N,48,8,467,229551000,Yacht,Active,6
1000241,United Kingdom,Commitment,1989,\N,36,7,284,232347000,Yacht,Active,\N
1000253,None,Al Fahedi,1986,\N,44,8,242,\N,Yacht,Active,\N
1000265,United Kingdom,Alia'N,1989,\N,30,10,279,232576000,Yacht,Active,\N
1000277,Switzerland,Alize,1989,\N,28,6,161,269508000,Yacht,Active,\N
1000289,Cayman Islands,All Seven,1987,\N,46,8,483,319853000,Yacht,Active,7
1000291,Cayman Islands,Yaakun,1987,\N,61,9,986,319007000,Yacht,Active,8
1000306,United Kingdom,Adoria,1975,\N,46,9,475,235039063,Yacht,Active,9
1000318,Saudi Arabia,Al Riyadh,1978,\N,64,9,965,\N,Yacht,Active,10
1000320,Malta,Issham Al Baher,1973,\N,115,14,3156,248652000,Yacht,Active,11
1000332,None,Al Sultan,1993,\N,20,5,52,\N,Yacht,Active,\N
1000344,United Kingdom,Altair,1931,\N,32,6,93,\N,Yacht,Active,\N
1000356,Iraq,Basrah Breeze,1981,\N,82,12,2494,244707328,Yacht,Active,12
1000370,Panama,Amphitrite,1974,\N,28,6,118,\N,Yacht,Active,\N
1000382,None,Amusco Iv,1967,\N,19,4,51,\N,Yacht,Active,\N
1000394,United Kingdom,Alexandra K,1981,\N,46,7,317,235103938,Yacht,Active,\N
1000409,United Kingdom,Quintessa,1989,\N,46,8,480,232501000,Yacht,Active,13
1000411,None,Andando,1993,\N,10,3,13,\N,Yacht,Active,\N
1000423,Malta,Istros,1954,\N,42,6,247,\N,Yacht,Laid Up,\N
1000435,None,Anmar B,1988,\N,29,7,175,232375000,Yacht,Active,\N
1000447,Cayman Islands,Va Bene,1992,\N,43,8,496,319854000,Yacht,Active,14
1000459,Cayman Islands,Juneluck,1992,\N,37,7,257,\N,Yacht,Active,\N
1000461,British Virgin Islands,Aquamarine,1991,\N,24,6,67,\N,Yacht,Active,\N
1000473,Isle Of Man,Aralus,1985,\N,17,4,55,232807000,Yacht,Active,\N
1000485,United Kingdom,Arcarius,1991,\N,12,3,20,\N,Yacht,Active,\N
1000497,None,Ardevora Of Roseland,1989,\N,16,4,44,\N,Yacht,Active,\N
1000514,United Kingdom,Arethusa Of Lymington,1990,\N,12,3,20,\N,Yacht,Active,\N
1000526,None,Argolide,1983,\N,32,6,167,\N,Yacht,Active,\N
1000538,United Kingdom,Aromatic,1990,\N,12,3,20,\N,Yacht,Active,\N
1000540,Ireland,Asgard Ii,1981,\N,25,6,97,\N,Yacht,Decommissioned Or Lost,\N
1000552,None,Ashley St Mary,1982,\N,18,5,68,\N,Yacht,Active,\N
1000564,None,Asia,1956,\N,10,2,6,\N,Yacht,Active,\N
1000576,Malta,Tiziana,1963,\N,35,7,153,215959000,Yacht,Active,\N
1000588,Liberia,Astarte Ii,1987,\N,65,11,1160,636009659,Yacht,Active,5
